chinese,word,meaning
他已于上月离京。,京,abbr. for Beijing 北京
林青自幼对木雕颇感兴趣，六岁起即拜当地的匠人为师，潜心学习雕刻技艺。,青,green / blue / black
苏州历来是经济富饶的鱼米之乡，与杭州齐名，并称“苏杭”。,杭,abbr. for Hangzhou 杭州
女儿春节在外未能回家，询问父母近况，二老回复说：“一切平安，勿念。”,春,spring (season)
在这样一个大城市的小区，雨后还能听到蛙声，真的令人欣喜。我们何不把新居叫做“听蛙楼”？,楼,house with more than 1 story / storied building / floor
经医生细心诊治，哥哥身体状况日渐好转，已经可以自行下床行走了。,经,to pass through; to go through; after
生态经济学认为，一切经济活动都是在一定的生态经济系统中进行的。它是由生态系统和经济系统两个子系统有机结合形成的。经济活动不单在经济系统中进行，同时也在生态系统中运行。也就是说，同时要受经济规律和生态规律的双重制约。有的地区比其他地区发展得好、前景也更广阔，关键就在于主政者能够不但遵循商业经营规律，同时也满足生态平衡的自然规律要求。综上所述，创造经济效益、增强地区的竞争力与可持续发展密不可分，关键之处是人类是否在合理地利用资源、是否在改善和保护环境。,也,also; too; as well
近些年，在全球范围内引发最多关注的火山，莫过于2010年3月20日开始大规模喷发的冰岛南部的埃亚菲亚德拉火山了。,埃,dust / dirt / angstrom
虽然【】没有得到为国家献身的机会，但也一直做好了准备；如果到了那一天，汪昌绪绝对丝毫不会犹豫。,昌,(bound form) prosperous; flourishing
兹证明李莉女士系本单位正式员工，已连续在本单位工作十年。,莉,"jasmine, as in 茉莉 mòlì"
按说，以方平的能力完全可以在大城市里立足，可他为了方便照顾父母，毅然选,平,flat; level; even; equal
刘全指着铁子说：“要不是蔬菜大棚，铁子还是贫困户哩！”铁子不好意思地笑了：“可不是嘛！”,全,all; whole; entire; complete
王安忆对上海人的观察和描写非常细腻，可谓“入木三分”。,安,safe; secure; peaceful
眼看着周围的同事朋友升职发财，佳佳不免跟丈夫多唠叨了几句。,佳,good; fine; beautiful
看见前面登场的选手纷纷取得了较高的得分，即将表演的白兰不由得紧张了起来。,兰,orchid
